1745369764.902943 server started (52921): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1745369764.902976 on Linux 6.14.2-300.fc42.x86_64 #1 SMP PREEMPT_DYNAMIC Thu Apr 10 21:50:55 UTC 2025
1745369764.902993 using libevent 2.1.12-stable poll
1745369764.902999 using ncurses 6.5 20240629
1745369764.911565 yylex_token: kill-pane
1745369764.911567 cmd_parse_build_commands 0:0: bind
1745369764.911568 cmd_parse_build_commands 0:1: -N
1745369764.911570 cmd_parse_build_commands 0:2: Kill the active pane
1745369764.911571 cmd_parse_build_commands 0:3: x
1745369764.911573 cmd_parse_build_commands 0:4 0:0: confirm-before
1745369764.911575 cmd_parse_build_commands 0:4 0:1: -pkill-pane #P? (y/n)
1745369764.911576 cmd_parse_build_commands 0:4 0:2: kill-pane
1745369764.911578 cmd_parse_build_commands 0:0: confirm-before
1745369764.911579 cmd_parse_build_commands 0:1: -pkill-pane #P? (y/n)
1745369764.911581 cmd_parse_build_commands 0:2: kill-pane
1745369764.911583 args_parse_flags: next -pkill-pane #P? (y/n)
1745369764.911585 args_parse_flag_argument: -p = kill-pane #P? (y/n)
1745369764.911586 args_parse_flags: next kill-pane
1745369764.911587 args_parse: flags end at 2 of 3
1745369764.911589 args_parse: 2 = kill-pane (type STRING)
1745369764.911593 cmd_parse_build_commands: confirm-before -p "kill-pane #P? (y/n)" kill-pane
1745369764.911594 args_parse_flags: next -N
1745369764.911596 args_parse_flag_argument: -N = Kill the active pane
1745369764.911597 args_parse_flags: next x
1745369764.911598 args_parse: flags end at 3 of 5
1745369764.911600 args_parse: 3 = x (type STRING)
1745369764.911603 args_parse: 4 = confirm-before -p "kill-pane #P? (y/n)" kill-pane (type COMMANDS)
1745369764.911608 cmd_parse_build_commands: bind-key -N "Kill the active pane" x { confirm-before -p "kill-pane #P? (y/n)" kill-pane }
1745369764.911610 cmdq_get_command: [bind-key/0x562621e763b0] group 442
1745369764.911612 cmdq_append <global>: [bind-key/0x562621e763b0]
1745369764.911615 yylex_token: end at WS
1745369764.911616 yylex_token: bind
1745369764.911618 yylex_token: end at WS
1745369764.911619 yylex_token: -N
1745369764.911621 yylex_token: end at WS
1745369764.911622 yylex_token: Zoom the active pane
1745369764.911623 yylex_token: end at WS
1745369764.911625 yylex_token: z
1745369764.911626 yylex_token: end at WS
1745369764.911627 yylex_token: resize-pane
1745369764.911629 yylex_token: end at WS
1745369764.911630 yylex_token: -Z
1745369764.911632 cmd_parse_build_commands 0:0: bind
1745369764.911633 cmd_parse_build_commands 0:1: -N
1745369764.911635 cmd_parse_build_commands 0:2: Zoom the active pane
1745369764.911636 cmd_parse_build_commands 0:3: z
1745369764.911638 cmd_parse_build_commands 0:4 0:0: resize-pane
1745369764.911639 cmd_parse_build_commands 0:4 0:1: -Z
1745369764.911641 cmd_parse_build_commands 0:0: resize-pane
1745369764.911644 cmd_parse_build_commands 0:1: -Z
1745369764.911647 args_parse_flags: next -Z
1745369764.911649 args_parse_flags: -Z
1745369764.911650 args_parse: flags end at 2 of 2
1745369764.911652 cmd_parse_build_commands: resize-pane -Z
1745369764.911653 args_parse_flags: next -N
1745369764.911655 args_parse_flag_argument: -N = Zoom the active pane
1745369764.911656 args_parse_flags: next z
1745369764.911658 args_parse: flags end at 3 of 5
1745369764.911659 args_parse: 3 = z (type STRING)
1745369764.911662 args_parse: 4 = resize-pane -Z (type COMMANDS)
1745369764.911665 cmd_parse_build_commands: bind-key -N "Zoom the active pane" z { resize-pane -Z }
1745369764.911667 cmdq_get_command: [bind-key/0x562621e76b80] group 450
1745369764.911669 cmdq_append <global>: [bind-key/0x562621e76b80]
1745369764.911671 yylex_token: end at WS
1745369764.911672 yylex_token: bind
1745369764.911673 yylex_token: end at WS
1745369764.911675 yylex_token: -N
1745369764.911677 yylex_token: end at WS
1745369764.911678 yylex_token: Swap the active pane with the pane above
1745369764.911680 yylex_token: end at WS
1745369764.911681 yylex_token: {
1745369764.911682 yylex_token: end at WS
1745369764.911684 yylex_token: swap-pane
1745369764.911685 yylex_token: end at WS
1745369764.911686 yylex_token: -U
1745369764.911688 cmd_parse_build_commands 0:0: bind
1745369764.911690 cmd_parse_build_commands 0:1: -N
1745369764.911691 cmd_parse_build_commands 0:2: Swap the active pane with the pane above
1745369764.911693 cmd_parse_build_commands 0:3: {
1745369764.911694 cmd_parse_build_commands 0:4 0:0: swap-pane
1745369764.911696 cmd_parse_build_commands 0:4 0:1: -U
1745369764.911698 cmd_parse_build_commands 0:0: swap-pane
1745369764.911699 cmd_parse_build_commands 0:1: -U
1745369764.911702 args_parse_flags: next -U
1745369764.911704 args_parse_flags: -U
1745369764.911705 args_parse: flags end at 2 of 2
1745369764.911707 cmd_parse_build_commands: swap-pane -U
1745369764.911708 args_parse_flags: next -N
1745369764.911710 args_parse_flag_argument: -N = Swap the active pane with the pane above
1745369764.911711 args_parse_flags: next {
1745369764.911713 args_parse: flags end at 3 of 5
1745369764.911714 args_parse: 3 = { (type STRING)
1745369764.911717 args_parse: 4 = swap-pane -U (type COMMANDS)
1745369764.911721 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane above" \\{ { swap-pane -U }
1745369764.911723 cmdq_get_command: [bind-key/0x562621e77190] group 458
1745369764.911724 cmdq_append <global>: [bind-key/0x562621e77190]
1745369764.911727 yylex_token: end at WS
1745369764.911729 yylex_token: bind
1745369764.911730 yylex_token: end at WS
1745369764.911731 yylex_token: -N
1745369764.911733 yylex_token: end at WS
1745369764.911735 yylex_token: Swap the active pane with the pane below
1745369764.911736 yylex_token: end at WS
1745369764.911738 yylex_token: }
1745369764.911739 yylex_token: end at WS
1745369764.911740 yylex_token: swap-pane
1745369764.911742 yylex_token: end at WS
1745369764.911743 yylex_token: -D
1745369764.911745 cmd_parse_build_commands 0:0: bind
1745369764.911746 cmd_parse_build_commands 0:1: -N
1745369764.911748 cmd_parse_build_commands 0:2: Swap the active pane with the pane below
1745369764.911749 cmd_parse_build_commands 0:3: }
1745369764.911751 cmd_parse_build_commands 0:4 0:0: swap-pane
1745369764.911752 cmd_parse_build_commands 0:4 0:1: -D
1745369764.911754 cmd_parse_build_commands 0:0: swap-pane
1745369764.911756 cmd_parse_build_commands 0:1: -D
1745369764.911758 args_parse_flags: next -D
1745369764.911759 args_parse_flags: -D
1745369764.911761 args_parse: flags end at 2 of 2
1745369764.911763 cmd_parse_build_commands: swap-pane -D
1745369764.911764 args_parse_flags: next -N
1745369764.911766 args_parse_flag_argument: -N = Swap the active pane with the pane below
1745369764.911767 args_parse_flags: next }
1745369764.911769 args_parse: flags end at 3 of 5
1745369764.911770 args_parse: 3 = } (type STRING)
1745369764.911772 args_parse: 4 = swap-pane -D (type COMMANDS)
1745369764.911777 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane below" \\} { swap-pane -D }
1745369764.911779 cmdq_get_command: [bind-key/0x562621e77620] group 466
1745369764.911781 cmdq_append <global>: [bind-key/0x562621e77620]
1745369764.911783 yylex_token: end at WS
1745369764.911784 yylex_token: bind
1745369764.911786 yylex_token: end at WS
1745369764.911787 yylex_token: -N
1745369764.911788 yylex_token: end at WS
1745369764.911790 yylex_token: Show messages
1745369764.911791 yylex_token: end at WS
1745369764.911792 yylex_token: ~
1745369764.911794 yylex_token: end at WS
1745369764.911795 yylex_token: show-messages
1745369764.911797 cmd_parse_build_commands 0:0: bind
1745369764.911799 cmd_parse_build_commands 0:1: -N
1745369764.911800 cmd_parse_build_commands 0:2: Show messages
1745369764.911802 cmd_parse_build_commands 0:3: ~
1745369764.911803 cmd_parse_build_commands 0:4 0:0: show-messages
1745369764.911805 cmd_parse_build_commands 0:0: show-messages
1745369764.911808 args_parse: flags end at 1 of 1
1745369764.911810 cmd_parse_build_commands: show-messages
1745369764.911811 args_parse_flags: next -N
1745369764.911813 args_parse_flag_argument: -N = Show messages
1745369764.911814 args_parse_flags: next ~
1745369764.911815 args_parse: flags end at 3 of 5
1745369764.911817 args_parse: 3 = ~ (type STRING)
1745369764.911819 args_parse: 4 = show-messages (type COMMANDS)
1745369764.911822 cmd_parse_build_commands: bind-key -N "Show messages" \\~ { show-messages }
1745369764.911824 cmdq_get_command: [bind-key/0x562621e77b70] group 474
1745369764.911825 cmdq_append <global>: [bind-key/0x562621e77b70]
1745369764.911827 yylex_token: end at WS
1745369764.911828 yylex_token: bind
1745369764.911830 yylex_token: end at WS
1745369764.911831 yylex_token: -N
1745369764.911833 yylex_token: end at WS
1745369764.911834 yylex_token: Enter copy mode and scroll up
1745369764.911836 yylex_token: end at WS
1745369764.911837 yylex_token: PPage
1745369764.911839 yylex_token: end at WS
1745369764.911840 yylex_token: copy-mode
1745369764.911841 yylex_token: end at WS
1745369764.911843 yylex_token: -u
1745369764.911844 cmd_parse_build_commands 0:0: bind
1745369764.911846 cmd_parse_build_commands 0:1: -N
1745369764.911847 cmd_parse_build_commands 0:2: Enter copy mode and scroll up
1745369764.911849 cmd_parse_build_commands 0:3: PPage
1745369764.911851 cmd_parse_build_commands 0:4 0:0: copy-mode
1745369764.911852 cmd_parse_build_commands 0:4 0:1: -u
1745369764.911854 cmd_parse_build_commands 0:0: copy-mode
1745369764.911855 cmd_parse_build_commands 0:1: -u
1745369764.911857 args_parse_flags: next -u
1745369764.911859 args_parse_flags: -u
1745369764.911860 args_parse: flags end at 2 of 2
1745369764.911862 cmd_parse_build_commands: copy-mode -u
1745369764.911863 args_parse_flags: next -N
1745369764.911865 args_parse_flag_argument: -N = Enter copy mode and scroll up
1745369764.911866 args_parse_flags: next PPage
1745369764.911868 args_parse: flags end at 3 of 5
1745369764.911869 args_parse: 3 = PPage (type STRING)
1745369764.911871 args_parse: 4 = copy-mode -u (type COMMANDS)
1745369764.911875 cmd_parse_build_commands: bind-key -N "Enter copy mode and scroll up" PPage { copy-mode -u }
1745369764.911877 cmdq_get_command: [bind-key/0x562621e77fb0] group 482
1745369764.911878 cmdq_append <global>: [bind-key/0x562621e77fb0]
1745369764.911881 yylex_token: end at WS
1745369764.911882 yylex_token: bind
1745369764.911883 yylex_token: end at WS
1745369764.911884 yylex_token: -N
1745369764.911886 yylex_token: end at WS
1745369764.911888 yylex_token: Select the pane above the active pane
1745369764.911889 yylex_token: end at WS
1745369764.911891 yylex_token: -r
1745369764.911892 yylex_token: end at WS
1745369764.911893 yylex_token: Up
1745369764.911895 yylex_token: end at WS
1745369764.911896 yylex_token: select-pane
1745369764.911897 yylex_token: end at WS
1745369764.911899 yylex_token: -U
1745369764.911901 cmd_parse_build_commands 0:0: bind
1745369764.911902 cmd_parse_build_commands 0:1: -N
1745369764.911904 cmd_parse_build_commands 0:2: Select the pane above the active pane
1745369764.911907 cmd_parse_build_commands 0:3: -r
1745369764.911909 cmd_parse_build_commands 0:4: Up
1745369764.911910 cmd_parse_build_commands 0:5 0:0: select-pane
1745369764.911912 cmd_parse_build_commands 0:5 0:1: -U
1745369764.911914 cmd_parse_build_commands 0:0: select-pane
1745369764.911915 cmd_parse_build_commands 0:1: -U
1745369764.911917 args_parse_flags: next -U
1745369764.911919 args_parse_flags: -U
1745369764.911920 args_parse: flags end at 2 of 2
1745369764.911922 cmd_parse_build_commands: select-pane -U
1745369764.911923 args_parse_flags: next -N
1745369764.911925 args_parse_flag_argument: -N = Select the pane above the active pane
1745369764.911926 args_parse_flags: next -r
1745369764.911928 args_parse_flags: -r
1745369764.911929 args_parse_flags: next Up
1745369764.911931 args_parse: flags end at 4 of 6
1745369764.911932 args_parse: 4 = Up (type STRING)
1745369764.911934 args_parse: 5 = select-pane -U (type COMMANDS)
1745369764.911938 cmd_parse_build_commands: bind-key -r -N "Select the pane above the active pane" Up { select-pane -U }
1745369764.911940 cmdq_get_command: [bind-key/0x562621e780b0] group 490
1745369764.911941 cmdq_append <global>: [bind-key/0x562621e780b0]
1745369764.911945 yylex_token: end at WS
1745369764.911946 yylex_token: bind
1745369764.911947 yylex_token: end at WS
1745369764.911949 yylex_token: -N
1745369764.911951 yylex_token: end at WS
1745369764.911952 yylex_token: Select the pane below the active pane
1745369764.911953 yylex_token: end at WS
1745369764.911955 yylex_token: -r
1745369764.911956 yylex_token: end at WS
1745369764.911957 yylex_token: Down
1745369764.911959 yylex_token: end at WS
1745369764.911960 yylex_token: select-pane
1745369764.911962 yylex_token: end at WS
1745369764.911963 yylex_token: -D
1745369764.911965 cmd_parse_build_commands 0:0: bind
1745369764.911966 cmd_parse_build_commands 0:1: -N
1745369764.911968 cmd_parse_build_commands 0:2: Select the pane below the active pane
1745369764.911969 cmd_parse_build_commands 0:3: -r
1745369764.911971 cmd_parse_build_commands 0:4: Down
1745369764.911972 cmd_parse_build_commands 0:5 0:0: select-pane
1745369764.911974 cmd_parse_build_commands 0:5 0:1: -D
1745369764.911976 cmd_parse_build_commands 0:0: select-pane
1745369764.911977 cmd_parse_build_commands 0:1: -D
1745369764.911979 args_parse_flags: next -D
1745369764.911981 args_parse_flags: -D
1745369764.911982 args_parse: flags end at 2 of 2
1745369764.911984 cmd_parse_build_commands: select-pane -D
1745369764.911985 args_parse_flags: next -N
1745369764.911987 args_parse_flag_argument: -N = Select the pane below the active pane
1745369764.911988 args_parse_flags: next -r
1745369764.911990 args_parse_flags: -r
1745369764.911991 args_parse_flags: next Down
1745369764.911992 args_parse: flags end at 4 of 6
1745369764.911994 args_parse: 4 = Down (type STRING)
1745369764.911996 args_parse: 5 = select-pane -D (type COMMANDS)
1745369764.911999 cmd_parse_build_commands: bind-key -r -N "Select the pane below the active pane" Down { select-pane -D }
1745369764.912001 cmdq_get_command: [bind-key/0x562621e788d0] group 498
1745369764.912008 cmdq_append <global>: [bind-key/0x562621e788d0]
1745369764.912010 yylex_token: end at WS
1745369764.912011 yylex_token: bind
1745369764.912013 yylex_token: end at WS
1745369764.912014 yylex_token: -N
1745369764.912016 yylex_token: end at WS
1745369764.912017 yylex_token: Select the pane to the left of the active pane
1745369764.912019 yylex_token: end at WS
1745369764.912020 yylex_token: -r
1745369764.912021 yylex_token: end at WS
1745369764.912023 yylex_token: Left
1745369764.912024 yylex_token: end at WS
1745369764.912026 yylex_token: select-pane
1745369764.912027 yylex_token: end at WS
1745369764.912028 yylex_token: -L
1745369764.912030 cmd_parse_build_commands 0:0: bind
1745369764.912031 cmd_parse_build_commands 0:1: -N
1745369764.912033 cmd_parse_build_commands 0:2: Select the pane to the left of the active pane
1745369764.912034 cmd_parse_build_commands 0:3: -r
1745369764.912036 cmd_parse_build_commands 0:4: Left
1745369764.912039 cmd_parse_build_commands 0:5 0:0: select-pane
1745369764.912041 cmd_parse_build_commands 0:5 0:1: -L
1745369764.912043 cmd_parse_build_commands 0:0: select-pane
1745369764.912044 cmd_parse_build_commands 0:1: -L
1745369764.912047 args_parse_flags: next -L
1745369764.912048 args_parse_flags: -L
1745369764.912049 args_parse: flags end at 2 of 2
1745369764.912051 cmd_parse_build_commands: select-pane -L
1745369764.912052 args_parse_flags: next -N
1745369764.912054 args_parse_flag_argument: -N = Select the pane to the left of the active pane
1745369764.912056 args_parse_flags: next -r
1745369764.912057 args_parse_flags: -r
1745369764.912058 args_parse_flags: next Left
1745369764.912060 args_parse: flags end at 4 of 6
1745369764.912061 args_parse: 4 = Left (type STRING)
1745369764.912063 args_parse: 5 = select-pane -L (type COMMANDS)
1745369764.912067 cmd_parse_build_commands: bind-key -r -N "Select the pane to the left of the active pane" Left { select-pane -L }
1745369764.912069 cmdq_get_command: [bind-key/0x562621e78ee0] group 506
1745369764.912071 cmdq_append <global>: [bind-key/0x562621e78ee0]
1745369764.912074 yylex_token: end at WS
1745369764.912076 yylex_token: bind
1745369764.912077 yylex_token: end at WS
1745369764.912078 yylex_token: -N
1745369764.912080 yylex_token: end at WS
1745369764.912082 yylex_token: Select the pane to the right of the active pane
1745369764.912083 yylex_token: end at WS
1745369764.912085 yylex_token: -r
1745369764.912086 yylex_token: end at WS
1745369764.912087 yylex_token: Right
1745369764.912089 yylex_token: end at WS
1745369764.912091 yylex_token: select-pane
1745369764.912092 yylex_token: end at WS
1745369764.912093 yylex_token: -R
1745369764.912095 cmd_parse_build_commands 0:0: bind
1745369764.912096 cmd_parse_build_commands 0:1: -N
1745369764.912098 cmd_parse_build_commands 0:2: Select the pane to the right of the active pane
1745369764.912100 cmd_parse_build_commands 0:3: -r
1745369764.912101 cmd_parse_build_commands 0:4: Right
1745369764.912103 cmd_parse_build_commands 0:5 0:0: select-pane
1745369764.912104 cmd_parse_build_commands 0:5 0:1: -R
1745369764.912106 cmd_parse_build_commands 0:0: select-pane
1745369764.912109 cmd_parse_build_commands 0:1: -R
1745369764.912111 args_parse_flags: next -R
1745369764.912113 args_parse_flags: -R
1745369764.912114 args_parse: flags end at 2 of 2
1745369764.912116 cmd_parse_build_commands: select-pane -R
1745369764.912117 args_parse_flags: next -N
1745369764.912119 args_parse_flag_argument: -N = Select the pane to the right of the active pane
1745369764.912120 args_parse_flags: next -r
1745369764.912122 args_parse_flags: -r
1745369764.912123 args_parse_flags: next Right
1745369764.912125 args_parse: flags end at 4 of 6
1745369764.912126 args_parse: 4 = Right (type STRING)
1745369764.912128 args_parse: 5 = select-pane -R (type COMMANDS)
1745369764.912132 cmd_parse_build_commands: bind-key -r -N "Select the pane to the right of the active pane" Right { select-pane -R }
1745369764.912134 cmdq_get_command: [bind-key/0x562621e79830] group 514
1745369764.912136 cmdq_append <global>: [bind-key/0x562621e79830]
1745369764.912138 yylex_token: end at WS
1745369764.912139 yylex_token: bind
1745369764.912140 yylex_token: end at WS
1745369764.912142 yylex_token: -N
1745369764.912143 yylex_token: end at WS
1745369764.912145 yylex_token: Set the even-horizontal layout
1745369764.912146 yylex_token: end at WS
1745369764.912148 yylex_token: M-1
1745369764.912149 yylex_token: end at WS
1745369764.912151 yylex_token: select-layout
1745369764.912152 yylex_token: end at WS
1745369764.912154 yylex_token: even-horizontal
1745369764.912155 cmd_parse_build_commands 0:0: bind
1745369764.912157 cmd_parse_build_commands 0:1: -N
1745369764.912158 cmd_parse_build_commands 0:2: Set the even-horizontal layout
1745369764.912160 cmd_parse_build_commands 0:3: M-1
1745369764.912161 cmd_parse_build_commands 0:4 0:0: select-layout
1745369764.912163 cmd_parse_build_commands 0:4 0:1: even-horizontal
1745369764.912165 cmd_parse_build_commands 0:0: select-layout
1745369764.912167 cmd_parse_build_commands 0:1: even-horizontal
1745369764.912171 args_parse_flags: next even-horizontal
1745369764.912173 args_parse: flags end at 1 of 2
1745369764.912174 args_parse: 1 = even-horizontal (type STRING)
1745369764.912177 cmd_parse_build_commands: select-layout even-horizontal
1745369764.912178 args_parse_flags: next -N
1745369764.912180 args_parse_flag_argument: -N = Set the even-horizontal layout
1745369764.912181 args_parse_flags: next M-1
1745369764.912183 args_parse: flags end at 3 of 5
1745369764.912184 args_parse: 3 = M-1 (type STRING)
1745369764.912187 args_parse: 4 = select-layout even-horizontal (type COMMANDS)
1745369764.912191 cmd_parse_build_commands: bind-key -N "Set the even-horizontal layout" M-1 { select-layout even-horizontal }
1745369764.912193 cmdq_get_command: [bind-key/0x562621e7a510] group 522
1745369764.912194 cmdq_append <global>: [bind-key/0x562621e7a510]
1745369764.912198 yylex_token: end at WS
1745369764.912199 yylex_token: bind
1745369764.912200 yylex_token: end at WS
1745369764.912202 yylex_token: -N
1745369764.912203 yylex_token: end at WS
1745369764.912205 yylex_token: Set the even-vertical layout
1745369764.912206 yylex_token: end at WS
1745369764.912207 yylex_token: M-2
1745369764.912209 yylex_token: end at WS
1745369764.912210 yylex_token: select-layout
1745369764.912212 yylex_token: end at WS
1745369764.912213 yylex_token: even-vertical
1745369764.912215 cmd_parse_build_commands 0:0: bind
1745369764.912216 cmd_parse_build_commands 0:1: -N
1745369764.912218 cmd_parse_build_commands 0:2: Set the even-vertical layout
1745369764.912219 cmd_parse_build_commands 0:3: M-2
1745369764.912221 cmd_parse_build_commands 0:4 0:0: select-layout
1745369764.912222 cmd_parse_build_commands 0:4 0:1: even-vertical
1745369764.912224 cmd_parse_build_commands 0:0: select-layout
1745369764.912225 cmd_parse_build_commands 0:1: even-vertical
1745369764.912228 args_parse_flags: next even-vertical
1745369764.912229 args_parse: flags end at 1 of 2
1745369764.912231 args_parse: 1 = even-vertical (type STRING)
1745369764.912233 cmd_parse_build_commands: select-layout even-vertical
1745369764.912234 args_parse_flags: next -N
1745369764.912236 args_parse_flag_argument: -N = Set the even-vertical layout
1745369764.912237 args_parse_flags: next M-2
1745369764.912239 args_parse: flags end at 3 of 5
1745369764.912240 args_parse: 3 = M-2 (type STRING)
1745369764.912242 args_parse: 4 = select-layout even-vertical (type COMMANDS)
1745369764.912246 cmd_parse_build_commands: bind-key -N "Set the even-vertical layout" M-2 { select-layout even-vertical }
1745369764.912248 cmdq_get_command: [bind-key/0x562621e7a9c0] group 530
1745369764.912249 cmdq_append <global>: [bind-key/0x562621e7a9c0]
1745369764.912252 yylex_token: end at WS
1745369764.912253 yylex_token: bind
1745369764.912254 yylex_token: end at WS
1745369764.912256 yylex_token: -N
1745369764.912257 yylex_token: end at WS
1745369764.912260 yylex_token: Set the main-horizontal layout
1745369764.912262 yylex_token: end at WS
1745369764.912263 yylex_token: M-3
1745369764.912264 yylex_token: end at WS
1745369764.912266 yylex_token: select-layout
1745369764.912267 yylex_token: end at WS
1745369764.912269 yylex_token: main-horizontal
1745369764.912270 cmd_parse_build_commands 0:0: bind
1745369764.912272 cmd_parse_build_commands 0:1: -N
1745369764.912273 cmd_parse_build_commands 0:2: Set the main-horizontal layout
1745369764.912275 cmd_parse_build_commands 0:3: M-3
1745369764.912276 cmd_parse_build_commands 0:4 0:0: select-layout
1745369764.912278 cmd_parse_build_commands 0:4 0:1: main-horizontal
1745369764.912280 cmd_parse_build_commands 0:0: select-layout
1745369764.912281 cmd_parse_build_commands 0:1: main-horizontal
1745369764.912283 args_parse_flags: next main-horizontal
1745369764.912285 args_parse: flags end at 1 of 2
1745369764.912286 args_parse: 1 = main-horizontal (type STRING)
1745369764.912288 cmd_parse_build_commands: select-layout main-horizontal
1745369764.912290 args_parse_flags: next -N
1745369764.912291 args_parse_flag_argument: -N = Set the main-horizontal layout
1745369764.912294 args_parse_flags: next M-3
1745369764.912296 args_parse: flags end at 3 of 5
1745369764.912297 args_parse: 3 = M-3 (type STRING)
1745369764.912299 args_parse: 4 = select-layout main-horizontal (type COMMANDS)
1745369764.912303 cmd_parse_build_commands: bind-key -N "Set the main-horizontal layout" M-3 { select-layout main-horizontal }
1745369764.912305 cmdq_get_command: [bind-key/0x562621e7b3d0] group 538
1745369764.912306 cmdq_append <global>: [bind-key/0x562621e7b3d0]
1745369764.912310 yylex_token: end at WS
1745369764.912311 yylex_token: bind
1745369764.912313 yylex_token: end at WS
1745369764.912314 yylex_token: -N
1745369764.912316 yylex_token: end at WS
1745369764.912317 yylex_token: Set the main-vertical layout
1745369764.912318 yylex_token: end at WS
1745369764.912320 yylex_token: M-4
1745369764.912321 yylex_token: end at WS
1745369764.912322 yylex_token: select-layout
1745369764.912324 yylex_token: end at WS
1745369764.912325 yylex_token: main-vertical
1745369764.912327 cmd_parse_build_commands 0:0: bind
1745369764.912328 cmd_parse_build_commands 0:1: -N
1745369764.912330 cmd_parse_build_commands 0:2: Set the main-vertical layout
1745369764.912331 cmd_parse_build_commands 0:3: M-4
1745369764.912333 cmd_parse_build_commands 0:4 0:0: select-layout
1745369764.912334 cmd_parse_build_commands 0:4 0:1: main-vertical
1745369764.912336 cmd_parse_build_commands 0:0: select-layout
1745369764.912337 cmd_parse_build_commands 0:1: main-vertical
1745369764.912340 args_parse_flags: next main-vertical
1745369764.912343 args_parse: flags end at 1 of 2
1745369764.912346 args_parse: 1 = main-vertical (type STRING)
1745369764.912350 cmd_parse_build_commands: select-layout main-vertical
1745369764.912353 args_parse_flags: next -N
1745369764.912356 args_parse_flag_argument: -N = Set the main-vertical layout
1745369764.912358 args_parse_flags: next M-4
1745369764.912361 args_parse: flags end at 3 of 5
1745369764.912364 args_parse: 3 = M-4 (type STRING)
1745369764.912368 args_parse: 4 = select-layout main-vertical (type COMMANDS)
1745369764.912375 cmd_parse_build_commands: bind-key -N "Set the main-vertical layout" M-4 { select-layout main-vertical }
1745369764.912379 cmdq_get_command: [bind-key/0x562621e7bca0] group 546
1745369764.912382 cmdq_append <global>: [bind-key/0x562621e7bca0]
1745369764.912386 yylex_token: end at WS
1745369764.912388 yylex_token: bind
1745369764.912391 yylex_token: end at WS
1745369764.912393 yylex_token: -N
1745369764.912397 yylex_token: end at WS
1745369764.912399 yylex_token: Select the tiled layout
1745369764.912402 yylex_token: end at WS
1745369764.912404 yylex_token: M-5
1745369764.912408 yylex_token: end at WS
1745369764.912410 yylex_token: select-layout
1745369764.912413 yylex_token: end at WS
1745369764.912415 yylex_token: tiled
1745369764.912419 cmd_parse_build_commands 0:0: bind
1745369764.912422 cmd_parse_build_commands 0:1: -N
1745369764.912425 cmd_parse_build_commands 0:2: Select the tiled layout
1745369764.912428 cmd_parse_build_commands 0:3: M-5
1745369764.912431 cmd_parse_build_commands 0:4 0:0: select-layout
1745369764.912434 cmd_parse_build_commands 0:4 0:1: tiled
1745369764.912437 cmd_parse_build_commands 0:0: select-layout
1745369764.912440 cmd_parse_build_commands 0:1: tiled
1745369764.912444 args_parse_flags: next tiled
1745369764.912447 args_parse: flags end at 1 of 2
1745369764.912450 args_parse: 1 = tiled (type STRING)
1745369764.912454 cmd_parse_build_commands: select-layout tiled
1745369764.912457 args_parse_flags: next -N
1745369764.912460 args_parse_flag_argument: -N = Select the tiled layout
1745369764.912462 args_parse_flags: next M-5
1745369764.912465 args_parse: flags end at 3 of 5
1745369764.912468 args_parse: 3 = M-5 (type STRING)
1745369764.912473 args_parse: 4 = select-layout tiled (type COMMANDS)
1745369764.912480 cmd_parse_build_commands: bind-key -N "Select the tiled layout" M-5 { select-layout tiled }
1745369764.912483 cmdq_get_command: [bind-key/0x562621e7c000] group 554
1745369764.912486 cmdq_append <global>: [bind-key/0x562621e7c000]
1745369764.912493 yylex_token: end at WS
1745369764.912497 yylex_token: bind
1745369764.912499 yylex_token: end at WS
1745369764.912502 yylex_token: -N
1745369764.912505 yylex_token: end at WS
1745369764.912508 yylex_token: Set the main-horizontal-mirrored layout
1745369764.912511 yylex_token: end at WS
1745369764.912514 yylex_token: M-6
1745369764.912517 yylex_token: end at WS
1745369764.912519 yylex_token: select-layout
1745369764.912523 yylex_token: end at WS
1745369764.912525 yylex_token: main-horizontal-mirrored
1745369764.912528 cmd_parse_build_commands 0:0: bind
1745369764.912531 cmd_parse_build_commands 0:1: -N
1745369764.912534 cmd_parse_build_commands 0:2: Set the main-horizontal-mirrored layout
1745369764.912537 cmd_parse_build_commands 0:3: M-6
1745369764.912540 cmd_parse_build_commands 0:4 0:0: select-layout
1745369764.912543 cmd_parse_build_commands 0:4 0:1: main-horizontal-mirrored
1745369764.912547 cmd_parse_build_commands 0:0: select-layout
1745369764.912549 cmd_parse_build_commands 0:1: main-horizontal-mirrored
1745369764.912554 args_parse_flags: next main-horizontal-mirrored
1745369764.912556 args_parse: flags end at 1 of 2
1745369764.912559 args_parse: 1 = main-horizontal-mirrored (type STRING)
1745369764.912564 cmd_parse_build_commands: select-layout main-horizontal-mirrored
1745369764.912567 args_parse_flags: next -N
1745369764.912570 args_parse_flag_argument: -N = Set the main-horizontal-mirrored layout
1745369764.912573 args_parse_flags: next M-6
1745369764.912575 args_parse: flags end at 3 of 5
1745369764.912578 args_parse: 3 = M-6 (type STRING)
1745369764.912583 args_parse: 4 = select-layout main-horizontal-mirrored (type COMMANDS)
1745369764.912591 cmd_parse_build_commands: bind-key -N "Set the main-horizontal-mirrored layout" M-6 { select-layout main-horizontal-mirrored }
